x_c,y_c,rho,u,v,p,T
0.0555555,0.025,0.116124,868.047,-9.03802e-17,10000,300
0.0555555,0.075,0.116124,868.047,5.45978e-17,10000,300
0.0555555,0.125,0.116124,868.047,-2.00474e-15,10000,300
0.0555555,0.175,0.116124,868.047,-1.44173e-16,10000,300
0.0555555,0.225,0.116124,868.047,-3.65324e-16,10000,300
0.166666,0.025,0.116124,868.047,3.37187e-16,10000,300
0.166666,0.075,0.116124,868.047,4.13475e-16,10000,300
0.166666,0.125,0.116124,868.047,-1.2627e-16,10000,300
0.166666,0.175,0.116124,868.047,-1.3885e-17,10000,300
0.166666,0.225,0.116124,868.047,-3.38849e-17,10000,300
0.277778,0.0254019,0.116124,868.047,-1.61932e-14,10000.1,300
0.277778,0.0753126,0.116124,868.047,-1.68467e-13,10000,300
0.277778,0.125223,0.116124,868.047,-4.16797e-18,10000,300
0.277778,0.175134,0.116124,868.047,-4.92191e-17,10000,300
0.277778,0.225045,0.116124,868.047,2.40238e-18,10000,300
0.388889,0.0392013,0.116145,868.047,-1.16041e-11,10001.8,300
0.388889,0.0860454,0.116124,868.047,-3.04964e-10,10000,300
0.388889,0.132889,0.116124,868.047,-5.71263e-13,10000,300
0.388889,0.179734,0.116124,868.047,-4.44449e-16,10000,300
0.388889,0.226578,0.116124,868.047,-7.13826e-17,10000,300
0.5,0.0659962,0.116148,868.047,-1.5359e-11,10002.1,300.001
0.5,0.106886,0.116124,868.047,-4.00261e-10,10000,300
0.5,0.147776,0.116124,868.047,-8.57145e-13,10000,300
0.5,0.188665,0.116124,868.047,-1.01553e-15,10000,300
0.5,0.229555,0.116124,868.047,6.30706e-17,10000,300
0.611112,0.0927912,0.116152,868.047,-2.13398e-11,10002.5,300.001
0.611112,0.127726,0.116124,868.047,-5.48392e-10,10000,300
0.611112,0.162662,0.116124,868.047,-1.37721e-12,10000,300
0.611112,0.197597,0.116124,868.047,-1.31974e-15,10000,300
0.611112,0.232532,0.116124,868.047,-2.9135e-15,10000,300
0.722222,0.106591,0.116125,868.047,-4.44633e-14,10000.1,300
0.722222,0.13846,0.116124,868.047,-4.32132e-13,10000,300
0.722222,0.170328,0.116124,868.047,-2.37828e-17,10000,300
0.722222,0.202197,0.116124,868.047,-3.05231e-16,10000,300
0.722222,0.234066,0.116124,868.047,2.86576e-16,10000,300
0.833333,0.106992,0.116124,868.047,1.85979e-17,10000,300
0.833333,0.138772,0.116124,868.047,-4.04204e-16,10000,300
0.833333,0.170551,0.116124,868.047,2.41173e-16,10000,300
0.833333,0.202331,0.116124,868.047,-4.01538e-16,10000,300
0.833333,0.23411,0.116124,868.047,2.02698e-16,10000,300
0.944445,0.106992,0.116124,868.047,-2.16502e-16,10000,300
0.944445,0.138772,0.116124,868.047,6.93223e-17,10000,300
0.944445,0.170551,0.116124,868.047,-1.63207e-16,10000,300
0.944445,0.202331,0.116124,868.047,4.39271e-17,10000,300
0.944445,0.23411,0.116124,868.047,1.0213e-16,10000,300
