x,y
0,0
0,0.05
0,0.1
0,0.15
0,0.2
0,0.25
0.111111,0
0.111111,0.05
0.111111,0.1
0.111111,0.15
0.111111,0.2
0.111111,0.25
0.222222,0
0.222222,0.05
0.222222,0.1
0.222222,0.15
0.222222,0.2
0.222222,0.25
0.333333,0.000893164
0.333333,0.0507145
0.333333,0.100536
0.333333,0.150357
0.333333,0.200179
0.333333,0.25
0.444444,0.0306653
0.444444,0.0745322
0.444444,0.118399
0.444444,0.162266
0.444444,0.206133
0.444444,0.25
0.555556,0.0604374
0.555556,0.0983499
0.555556,0.136262
0.555556,0.174175
0.555556,0.212087
0.555556,0.25
0.666667,0.0902096
0.666667,0.122168
0.666667,0.154126
0.666667,0.186084
0.666667,0.218042
0.666667,0.25
0.777778,0.0911027
0.777778,0.122882
0.777778,0.154662
0.777778,0.186441
0.777778,0.218221
0.777778,0.25
0.888889,0.0911027
0.888889,0.122882
0.888889,0.154662
0.888889,0.186441
0.888889,0.218221
0.888889,0.25
1,0.0911027
1,0.122882
1,0.154662
1,0.186441
1,0.218221
1,0.25
